tau,w_in,w_re,prob_neu_e,acc,acc_train,num_spikes,std_spikes
80.0,4.0,0.5,0.65,0.8683333333333333,0.9695833333333334,1316.645,159.91991425397902
80.0,4.0,0.5,0.65,0.88,0.95875,1303.2016666666666,163.69255021906838
80.0,4.0,0.5,0.65,0.885,0.9566666666666668,1247.6233333333332,156.7972410117247
80.0,4.0,0.5,0.65,0.865,0.9683333333333334,1285.2266666666667,166.51124673393355
80.0,4.0,0.5,0.65,0.8533333333333334,0.9666666666666668,1364.868333333333,169.065976265349
80.0,4.0,0.5,0.72,0.8916666666666667,0.9695833333333334,1276.3916666666669,149.8997829569995
80.0,4.0,0.5,0.72,0.87,0.9616666666666668,1231.993333333333,156.67859869455333
80.0,4.0,0.5,0.72,0.8416666666666667,0.9566666666666668,1248.3266666666666,151.0894766539204
80.0,4.0,0.5,0.72,0.8616666666666667,0.9591666666666666,1282.73,160.69112327692528
80.0,4.0,0.5,0.72,0.8633333333333333,0.9458333333333332,1200.9133333333334,155.71277775300123
80.0,4.0,0.5,0.78,0.87,0.9529166666666666,1288.7383333333332,173.50520606182272
80.0,4.0,0.5,0.78,0.8683333333333333,0.9483333333333334,1178.21,152.04528678434374
80.0,4.0,0.5,0.78,0.875,0.9704166666666668,1415.7983333333334,191.00323993034488
80.0,4.0,0.5,0.78,0.8416666666666667,0.9520833333333332,1472.9983333333332,202.45450928679156
80.0,4.0,0.5,0.78,0.86,0.9445833333333332,1181.7883333333334,141.2888183729421
80.0,4.0,0.5,0.85,0.9,0.9729166666666668,1408.2516666666668,155.80112857065217
80.0,4.0,0.5,0.85,0.865,0.9433333333333334,1094.19,143.31157396851566
80.0,4.0,0.5,0.85,0.8816666666666667,0.9816666666666668,1503.1133333333332,185.43048245157053
80.0,4.0,0.5,0.85,0.85,0.9766666666666668,1348.47,173.66802363513364
80.0,4.0,0.5,0.85,0.8533333333333334,0.9533333333333334,1239.8633333333332,163.4988317661288
80.0,4.0,1.3,0.65,0.8866666666666667,0.98875,1474.4566666666667,154.51312173692202
80.0,4.0,1.3,0.65,0.8716666666666667,0.9566666666666668,1149.4216666666666,144.0919053841062
80.0,4.0,1.3,0.65,0.8883333333333333,0.99,1541.065,178.62681053432786
80.0,4.0,1.3,0.65,0.8666666666666667,0.9895833333333334,1480.8183333333334,183.1416082267732
80.0,4.0,1.3,0.65,0.87,0.9629166666666666,1281.7183333333332,164.73158672182117
80.0,4.0,1.3,0.72,0.8916666666666667,0.9720833333333332,1270.8866666666668,156.70390493609986
80.0,4.0,1.3,0.72,0.8816666666666667,0.9883333333333332,1617.6883333333333,187.78363754745928
80.0,4.0,1.3,0.72,0.8916666666666667,0.97,1634.7133333333334,211.9732714806804
80.0,4.0,1.3,0.72,0.8516666666666667,0.9766666666666668,1659.66,219.33472380511637
80.0,4.0,1.3,0.72,0.89,0.9795833333333334,1596.08,200.3288969004056
80.0,4.0,1.3,0.78,0.8533333333333334,0.98625,1625.4666666666667,233.83099072240665
80.0,4.0,1.3,0.78,0.865,0.97625,1311.5783333333334,167.54142929602682
80.0,4.0,1.3,0.78,0.885,0.9845833333333334,1536.1466666666668,195.76186678944623
80.0,4.0,1.3,0.78,0.86,0.9683333333333334,1448.4666666666667,184.85610319621284
80.0,4.0,1.3,0.78,0.8833333333333333,0.9925,1554.2266666666667,203.0630163821621
80.0,4.0,1.3,0.85,0.865,0.9983333333333332,1890.935,252.1091776228439
80.0,4.0,1.3,0.85,0.8783333333333333,0.97125,1284.9466666666667,164.9883243007079
80.0,4.0,1.3,0.85,0.8533333333333334,0.9925,1966.8316666666667,288.1999074668292
80.0,4.0,1.3,0.85,0.8333333333333334,0.9979166666666668,1831.9433333333332,265.91828341720986
80.0,4.0,1.3,0.85,0.845,0.9520833333333332,1603.8,218.86686211789424
80.0,4.0,2.1,0.65,0.83,1.0,2200.815,323.7088209718728
80.0,4.0,2.1,0.65,0.8566666666666667,0.98375,1558.95,246.53707800923848
80.0,4.0,2.1,0.65,0.8633333333333333,0.99375,1815.32,287.21510104217475
80.0,4.0,2.1,0.65,0.8416666666666667,0.98625,1801.1533333333334,249.415195652194
80.0,4.0,2.1,0.65,0.8616666666666667,0.9966666666666668,2206.175,319.22824808434484
80.0,4.0,2.1,0.72,0.88,1.0,3533.94,517.6776987019368
80.0,4.0,2.1,0.72,0.8516666666666667,0.9954166666666666,2058.971666666667,404.9999969513032
80.0,4.0,2.1,0.72,0.875,0.9975,2288.5516666666667,294.8595156972592
80.0,4.0,2.1,0.72,0.8616666666666667,0.9995833333333334,2960.4733333333334,456.6969848330023
80.0,4.0,2.1,0.72,0.84,1.0,2839.2,391.9229388540559
80.0,4.0,2.1,0.78,0.8633333333333333,1.0,3320.068333333333,533.6660194640048
80.0,4.0,2.1,0.78,0.8783333333333333,0.9991666666666666,3926.653333333333,637.7658137244074
80.0,4.0,2.1,0.78,0.87,0.9995833333333334,4183.135,625.0074400423833
80.0,4.0,2.1,0.78,0.8916666666666667,0.9991666666666666,4261.905,692.0244475269642
80.0,4.0,2.1,0.78,0.8366666666666667,1.0,3150.403333333333,458.35028525014457
80.0,4.0,2.1,0.85,0.8533333333333334,0.99625,4486.408333333334,771.5774004794047
80.0,4.0,2.1,0.85,0.8716666666666667,0.9895833333333334,4550.985,633.6056382127608
80.0,4.0,2.1,0.85,0.87,0.9995833333333334,5464.673333333333,746.6085587210714
80.0,4.0,2.1,0.85,0.87,0.99875,5698.033333333334,875.8206697466986
80.0,4.0,2.1,0.85,0.8816666666666667,0.9979166666666668,4065.725,640.1343916514719
80.0,4.0,3.0,0.65,0.8683333333333333,0.9991666666666666,4924.238333333334,541.6897065638428
80.0,4.0,3.0,0.65,0.86,0.98875,3003.825,486.8649960461319
80.0,4.0,3.0,0.65,0.8916666666666667,0.9995833333333334,4424.868333333333,515.4995968287033
80.0,4.0,3.0,0.65,0.8483333333333334,0.9991666666666666,5742.29,724.3281870579569
80.0,4.0,3.0,0.65,0.86,0.9970833333333332,4394.44,761.7544243827315
80.0,4.0,3.0,0.72,0.87,0.9970833333333332,6287.701666666667,730.0208576909902
80.0,4.0,3.0,0.72,0.855,0.9983333333333332,5153.946666666667,604.1705061395243
80.0,4.0,3.0,0.72,0.865,0.9991666666666666,5562.546666666667,618.3842045920068
80.0,4.0,3.0,0.72,0.8633333333333333,0.99875,7218.113333333334,848.7892929474441
80.0,4.0,3.0,0.72,0.845,0.9991666666666666,6103.096666666666,740.9211275987628
80.0,4.0,3.0,0.78,0.8516666666666667,0.9975,6486.98,792.0354156223066
80.0,4.0,3.0,0.78,0.8483333333333334,0.9975,6496.748333333333,783.4859528610297
80.0,4.0,3.0,0.78,0.8866666666666667,0.9966666666666668,7764.263333333333,1089.895626802045
80.0,4.0,3.0,0.78,0.855,0.9954166666666666,8069.373333333333,1152.212681736994
80.0,4.0,3.0,0.78,0.8583333333333333,0.9995833333333334,6499.793333333333,687.4857142434953
80.0,4.0,3.0,0.85,0.8483333333333334,0.9820833333333332,10074.238333333333,1889.8032388401064
80.0,4.0,3.0,0.85,0.87,0.9908333333333332,6987.888333333333,759.9033288499414
80.0,4.0,3.0,0.85,0.8333333333333334,0.9845833333333334,9790.415,1523.4332988707886
80.0,4.0,3.0,0.85,0.8333333333333334,0.9833333333333332,10003.543333333331,1905.959900274808
80.0,4.0,3.0,0.85,0.8583333333333333,0.9658333333333332,8860.908333333333,1181.5532107910146
80.0,5.0,0.5,0.65,0.8566666666666667,0.9591666666666666,1891.5933333333328,192.92135173576708
80.0,5.0,0.5,0.65,0.875,0.9604166666666668,1787.9033333333334,196.99931638347263
80.0,5.0,0.5,0.65,0.8766666666666667,0.9633333333333334,1924.2216666666664,204.03501136787503
80.0,5.0,0.5,0.65,0.865,0.9441666666666668,1762.5316666666668,191.19074854855177
80.0,5.0,0.5,0.65,0.8683333333333333,0.9770833333333332,2004.6516666666664,213.11167728968357
80.0,5.0,0.5,0.72,0.8983333333333333,0.9775,1936.48,180.23575191028735
80.0,5.0,0.5,0.72,0.88,0.9441666666666668,1570.4833333333331,167.7962545933477
80.0,5.0,0.5,0.72,0.875,0.97125,2049.608333333333,215.22539719378432
80.0,5.0,0.5,0.72,0.8633333333333333,0.9704166666666668,1876.006666666667,197.65429404785408
80.0,5.0,0.5,0.72,0.8716666666666667,0.9675,1755.445,192.26454944945
80.0,5.0,0.5,0.78,0.8716666666666667,0.96625,1919.9516666666664,198.7187358988131
80.0,5.0,0.5,0.78,0.8733333333333333,0.9541666666666668,1933.888333333333,199.83350369050285
80.0,5.0,0.5,0.78,0.8516666666666667,0.9654166666666668,1831.78,196.28021194200903
80.0,5.0,0.5,0.78,0.8683333333333333,0.9741666666666666,1922.925,206.3478116554668
80.0,5.0,0.5,0.78,0.8766666666666667,0.97,1997.6516666666664,206.30014622039303
80.0,5.0,0.5,0.85,0.875,0.96,1696.5466666666666,181.559571001427
80.0,5.0,0.5,0.85,0.8816666666666667,0.9716666666666668,2079.455,207.96442317938263
80.0,5.0,0.5,0.85,0.87,0.9566666666666668,2112.1716666666666,232.71735115920248
80.0,5.0,0.5,0.85,0.8833333333333333,0.95,1992.7516666666668,209.84325895905152
80.0,5.0,0.5,0.85,0.89,0.9591666666666666,2021.3116666666667,210.51380286627816
80.0,5.0,1.3,0.65,0.885,0.9670833333333332,1921.9583333333333,220.0777966929473
80.0,5.0,1.3,0.65,0.8916666666666667,0.9845833333333334,1873.8533333333328,199.63688325446168
80.0,5.0,1.3,0.65,0.8783333333333333,0.9958333333333332,2147.1566666666668,261.01047639680843
80.0,5.0,1.3,0.65,0.8816666666666667,0.9841666666666666,2261.3783333333336,282.7542664527314
80.0,5.0,1.3,0.65,0.885,0.9716666666666668,1826.0966666666664,180.48103498398075
80.0,5.0,1.3,0.72,0.86,0.97375,1839.075,198.52596650060667
80.0,5.0,1.3,0.72,0.87,0.9895833333333334,2347.2516666666666,262.54564999358786
80.0,5.0,1.3,0.72,0.8716666666666667,0.9925,2376.4816666666666,280.9772879265432
80.0,5.0,1.3,0.72,0.8533333333333334,0.9858333333333332,2380.083333333333,302.60250008146915
80.0,5.0,1.3,0.72,0.8683333333333333,0.99625,2349.3866666666668,302.6035478238078
80.0,5.0,1.3,0.78,0.8466666666666667,0.9975,2387.8116666666665,308.8532168046102
80.0,5.0,1.3,0.78,0.8633333333333333,0.9854166666666668,1920.9083333333333,221.53731047061927
80.0,5.0,1.3,0.78,0.9,0.99625,2258.866666666667,271.099475387828
80.0,5.0,1.3,0.78,0.8583333333333333,0.9883333333333332,2086.55,256.0236333492151
80.0,5.0,1.3,0.78,0.885,0.9916666666666668,2321.2266666666665,308.16898820109867
80.0,5.0,1.3,0.85,0.875,0.9845833333333334,2078.815,258.25830888537416
80.0,5.0,1.3,0.85,0.865,1.0,2797.845,363.2411792574368
80.0,5.0,1.3,0.85,0.8866666666666667,0.9970833333333332,2908.4266666666667,393.47031394446464
80.0,5.0,1.3,0.85,0.8583333333333333,0.9970833333333332,2792.983333333333,386.8842889748245
80.0,5.0,1.3,0.85,0.87,0.9916666666666668,2972.0416666666665,415.7592571796274
80.0,5.0,2.1,0.65,0.8766666666666667,0.99375,3040.0016666666666,405.75230333774925
80.0,5.0,2.1,0.65,0.8666666666666667,0.9970833333333332,3197.5733333333333,433.04763551164
80.0,5.0,2.1,0.65,0.8683333333333333,0.99625,2874.375,410.1169927085848
80.0,5.0,2.1,0.65,0.8966666666666666,0.99375,2776.3616666666667,383.0105231764382
80.0,5.0,2.1,0.65,0.8483333333333334,0.9975,2914.643333333333,366.4779294703692
80.0,5.0,2.1,0.72,0.865,0.9929166666666668,4340.92,527.448446390735
80.0,5.0,2.1,0.72,0.8683333333333333,0.9970833333333332,4407.031666666667,770.1942940997999
80.0,5.0,2.1,0.72,0.8583333333333333,0.9820833333333332,4353.5616666666665,554.0333138574691
80.0,5.0,2.1,0.72,0.8833333333333333,0.99375,4513.14,659.6888562547246
80.0,5.0,2.1,0.72,0.8616666666666667,0.9970833333333332,4545.256666666667,697.9230908838658
80.0,5.0,2.1,0.78,0.8716666666666667,0.9991666666666666,5459.213333333333,750.9897521419465
80.0,5.0,2.1,0.78,0.8716666666666667,0.9991666666666666,4580.7,498.05640242848
80.0,5.0,2.1,0.78,0.855,0.9970833333333332,5401.283333333334,726.3657180710616
80.0,5.0,2.1,0.78,0.8833333333333333,0.9970833333333332,5337.505,697.4195007131648
80.0,5.0,2.1,0.78,0.875,0.9970833333333332,4848.22,553.9201792075581
80.0,5.0,2.1,0.85,0.8916666666666667,0.9995833333333334,6950.251666666667,916.28358874162
80.0,5.0,2.1,0.85,0.8666666666666667,0.9941666666666666,5650.546666666667,806.52707403754
80.0,5.0,2.1,0.85,0.885,0.9991666666666666,6693.298333333333,813.8170224302403
80.0,5.0,2.1,0.85,0.87,0.9945833333333334,5882.555,818.8378331360857
80.0,5.0,2.1,0.85,0.87,0.99875,7169.643333333333,958.3881604664272
80.0,5.0,3.0,0.65,0.8666666666666667,1.0,8591.831666666667,1469.294588114953
