n_neu,c_ie,L,pneu_e,tau,acc,acc_train,mean,mean_train,num_spikes,std_spikes
125.0,0.05,2.0,0.7,10.0,0.162,0.175,0.017,0.003,28.0,1.0
125.0,0.05,2.0,0.7,10.0,0.369,0.399,0.024,0.008,91.0,6.0
125.0,0.05,2.0,0.7,10.0,0.233,0.25,0.016,0.004,30.0,3.0
125.0,0.05,2.0,0.7,10.0,0.217,0.231,0.022,0.007,48.0,3.0
125.0,0.05,2.0,0.7,10.0,0.204,0.215,0.017,0.006,37.0,2.0
125.0,0.05,2.0,0.7,20.0,0.561,0.611,0.008,0.005,75.0,12.0
125.0,0.05,2.0,0.7,20.0,0.539,0.587,0.017,0.005,137.0,21.0
125.0,0.05,2.0,0.7,20.0,0.571,0.615,0.031,0.004,73.0,14.0
125.0,0.05,2.0,0.7,20.0,0.4,0.449,0.02,0.005,37.0,10.0
125.0,0.05,2.0,0.7,20.0,0.551,0.591,0.026,0.007,52.0,14.0
125.0,0.05,2.0,0.7,30.0,0.571,0.622,0.023,0.006,124.0,27.0
125.0,0.05,2.0,0.7,30.0,0.538,0.588,0.01,0.005,113.0,24.0
125.0,0.05,2.0,0.7,30.0,0.601,0.653,0.017,0.006,101.0,18.0
125.0,0.05,2.0,0.7,30.0,0.594,0.635,0.012,0.006,94.0,22.0
125.0,0.05,2.0,0.7,30.0,0.632,0.673,0.013,0.003,105.0,20.0
125.0,0.05,2.0,0.7,80.0,0.652,0.693,0.017,0.006,156.0,17.0
125.0,0.05,2.0,0.7,80.0,0.742,0.796,0.017,0.004,216.0,31.0
125.0,0.05,2.0,0.7,80.0,0.68,0.736,0.011,0.002,217.0,26.0
125.0,0.05,2.0,0.7,80.0,0.729,0.775,0.02,0.005,230.0,32.0
125.0,0.05,2.0,0.7,80.0,0.639,0.7,0.017,0.003,301.0,32.0
125.0,0.05,2.0,0.7,120.0,0.685,0.743,0.011,0.003,237.0,28.0
125.0,0.05,2.0,0.7,120.0,0.738,0.797,0.015,0.006,250.0,37.0
125.0,0.05,2.0,0.7,120.0,0.748,0.808,0.017,0.004,249.0,24.0
125.0,0.05,2.0,0.7,120.0,0.635,0.698,0.025,0.012,197.0,30.0
125.0,0.05,2.0,0.7,120.0,0.685,0.741,0.032,0.006,253.0,26.0
125.0,0.05,2.0,0.7,200.0,0.7,0.757,0.017,0.006,219.0,21.0
125.0,0.05,2.0,0.7,200.0,0.685,0.743,0.005,0.006,235.0,32.0
125.0,0.05,2.0,0.7,200.0,0.7,0.755,0.015,0.002,274.0,28.0
125.0,0.05,2.0,0.7,200.0,0.737,0.807,0.021,0.002,271.0,32.0
125.0,0.05,2.0,0.7,200.0,0.754,0.822,0.011,0.01,317.0,44.0
125.0,0.05,2.0,0.75,10.0,0.215,0.233,0.012,0.006,57.0,7.0
125.0,0.05,2.0,0.75,10.0,0.19,0.197,0.013,0.005,27.0,2.0
125.0,0.05,2.0,0.75,10.0,0.11,0.121,0.011,0.003,21.0,1.0
125.0,0.05,2.0,0.75,10.0,0.163,0.171,0.021,0.004,11.0,2.0
125.0,0.05,2.0,0.75,10.0,0.281,0.295,0.01,0.004,60.0,3.0
125.0,0.05,2.0,0.75,20.0,0.626,0.667,0.015,0.008,86.0,16.0
125.0,0.05,2.0,0.75,20.0,0.482,0.522,0.013,0.004,60.0,10.0
125.0,0.05,2.0,0.75,20.0,0.467,0.517,0.008,0.006,57.0,14.0
125.0,0.05,2.0,0.75,20.0,0.541,0.592,0.023,0.011,103.0,13.0
125.0,0.05,2.0,0.75,20.0,0.586,0.62,0.016,0.005,60.0,18.0
125.0,0.05,2.0,0.75,30.0,0.576,0.615,0.027,0.008,77.0,16.0
125.0,0.05,2.0,0.75,30.0,0.635,0.689,0.016,0.007,152.0,30.0
125.0,0.05,2.0,0.75,30.0,0.639,0.686,0.04,0.009,123.0,20.0
125.0,0.05,2.0,0.75,30.0,0.626,0.678,0.019,0.008,120.0,22.0
125.0,0.05,2.0,0.75,30.0,0.638,0.689,0.018,0.005,115.0,30.0
125.0,0.05,2.0,0.75,80.0,0.724,0.772,0.01,0.005,200.0,24.0
125.0,0.05,2.0,0.75,80.0,0.73,0.794,0.01,0.004,218.0,25.0
125.0,0.05,2.0,0.75,80.0,0.752,0.814,0.014,0.004,273.0,34.0
125.0,0.05,2.0,0.75,80.0,0.76,0.802,0.022,0.006,211.0,28.0
125.0,0.05,2.0,0.75,80.0,0.731,0.792,0.013,0.005,321.0,32.0
125.0,0.05,2.0,0.75,120.0,0.743,0.805,0.012,0.005,254.0,28.0
125.0,0.05,2.0,0.75,120.0,0.717,0.795,0.017,0.008,254.0,25.0
125.0,0.05,2.0,0.75,120.0,0.742,0.792,0.011,0.005,240.0,32.0
125.0,0.05,2.0,0.75,120.0,0.746,0.822,0.015,0.005,357.0,47.0
125.0,0.05,2.0,0.75,120.0,0.757,0.826,0.013,0.007,267.0,37.0
125.0,0.05,2.0,0.75,200.0,0.777,0.855,0.015,0.005,416.0,48.0
125.0,0.05,2.0,0.75,200.0,0.678,0.738,0.023,0.002,299.0,34.0
125.0,0.05,2.0,0.75,200.0,0.757,0.791,0.022,0.002,234.0,27.0
125.0,0.05,2.0,0.75,200.0,0.764,0.824,0.01,0.003,300.0,33.0
125.0,0.05,2.0,0.75,200.0,0.773,0.847,0.02,0.008,392.0,38.0
125.0,0.05,2.0,0.8,10.0,0.248,0.249,0.013,0.004,27.0,3.0
125.0,0.05,2.0,0.8,10.0,0.168,0.17,0.009,0.003,22.0,2.0
125.0,0.05,2.0,0.8,10.0,0.132,0.139,0.012,0.001,0.0,1.0
125.0,0.05,2.0,0.8,10.0,0.214,0.218,0.022,0.004,11.0,2.0
125.0,0.05,2.0,0.8,10.0,0.248,0.265,0.011,0.008,50.0,3.0
125.0,0.05,2.0,0.8,20.0,0.53,0.561,0.027,0.007,70.0,13.0
125.0,0.05,2.0,0.8,20.0,0.538,0.592,0.012,0.007,101.0,19.0
125.0,0.05,2.0,0.8,20.0,0.408,0.449,0.012,0.003,49.0,7.0
125.0,0.05,2.0,0.8,20.0,0.432,0.471,0.027,0.007,24.0,7.0
125.0,0.05,2.0,0.8,20.0,0.552,0.589,0.022,0.007,65.0,9.0
125.0,0.05,2.0,0.8,30.0,0.636,0.702,0.015,0.009,168.0,31.0
125.0,0.05,2.0,0.8,30.0,0.638,0.679,0.008,0.004,133.0,24.0
125.0,0.05,2.0,0.8,30.0,0.64,0.685,0.013,0.005,136.0,27.0
125.0,0.05,2.0,0.8,30.0,0.672,0.724,0.019,0.003,159.0,29.0
125.0,0.05,2.0,0.8,30.0,0.682,0.752,0.014,0.006,111.0,22.0
125.0,0.05,2.0,0.8,80.0,0.731,0.797,0.019,0.008,255.0,34.0
125.0,0.05,2.0,0.8,80.0,0.682,0.742,0.018,0.008,208.0,25.0
125.0,0.05,2.0,0.8,80.0,0.709,0.777,0.015,0.009,277.0,32.0
125.0,0.05,2.0,0.8,80.0,0.748,0.809,0.015,0.006,275.0,31.0
125.0,0.05,2.0,0.8,80.0,0.675,0.734,0.01,0.003,262.0,36.0
125.0,0.05,2.0,0.8,120.0,0.704,0.756,0.027,0.01,232.0,23.0
125.0,0.05,2.0,0.8,120.0,0.723,0.774,0.016,0.003,264.0,36.0
125.0,0.05,2.0,0.8,120.0,0.616,0.671,0.012,0.004,207.0,26.0
125.0,0.05,2.0,0.8,120.0,0.75,0.812,0.015,0.004,267.0,24.0
125.0,0.05,2.0,0.8,120.0,0.665,0.734,0.006,0.006,231.0,26.0
125.0,0.05,2.0,0.8,200.0,0.704,0.756,0.023,0.008,294.0,31.0
125.0,0.05,2.0,0.8,200.0,0.743,0.801,0.009,0.006,263.0,25.0
125.0,0.05,2.0,0.8,200.0,0.686,0.758,0.022,0.006,293.0,29.0
125.0,0.05,2.0,0.8,200.0,0.693,0.75,0.028,0.008,200.0,25.0
125.0,0.05,2.0,0.8,200.0,0.783,0.85,0.017,0.007,264.0,32.0
125.0,0.05,2.0,0.85,10.0,0.154,0.17,0.016,0.009,36.0,6.0
125.0,0.05,2.0,0.85,10.0,0.21,0.229,0.022,0.006,28.0,3.0
125.0,0.05,2.0,0.85,10.0,0.225,0.237,0.015,0.005,32.0,3.0
125.0,0.05,2.0,0.85,10.0,0.23,0.236,0.015,0.002,26.0,2.0
125.0,0.05,2.0,0.85,10.0,0.207,0.225,0.017,0.006,28.0,3.0
125.0,0.05,2.0,0.85,20.0,0.594,0.631,0.014,0.006,56.0,13.0
125.0,0.05,2.0,0.85,20.0,0.425,0.459,0.014,0.004,58.0,11.0
125.0,0.05,2.0,0.85,20.0,0.534,0.575,0.008,0.003,117.0,15.0
125.0,0.05,2.0,0.85,20.0,0.48,0.517,0.014,0.005,57.0,11.0
125.0,0.05,2.0,0.85,20.0,0.559,0.594,0.017,0.004,80.0,14.0
125.0,0.05,2.0,0.85,30.0,0.57,0.609,0.018,0.008,85.0,18.0
125.0,0.05,2.0,0.85,30.0,0.615,0.678,0.027,0.006,163.0,26.0
125.0,0.05,2.0,0.85,30.0,0.561,0.6,0.02,0.005,103.0,20.0
125.0,0.05,2.0,0.85,30.0,0.628,0.69,0.015,0.009,123.0,27.0
125.0,0.05,2.0,0.85,30.0,0.66,0.715,0.029,0.002,120.0,19.0
125.0,0.05,2.0,0.85,80.0,0.782,0.841,0.014,0.003,322.0,43.0
125.0,0.05,2.0,0.85,80.0,0.711,0.772,0.022,0.005,245.0,25.0
125.0,0.05,2.0,0.85,80.0,0.725,0.787,0.024,0.003,237.0,26.0
125.0,0.05,2.0,0.85,80.0,0.643,0.711,0.012,0.005,241.0,37.0
125.0,0.05,2.0,0.85,80.0,0.707,0.75,0.033,0.01,202.0,23.0
125.0,0.05,2.0,0.85,120.0,0.613,0.676,0.016,0.007,249.0,27.0
125.0,0.05,2.0,0.85,120.0,0.665,0.718,0.023,0.007,255.0,38.0
125.0,0.05,2.0,0.85,120.0,0.762,0.831,0.012,0.005,275.0,32.0
125.0,0.05,2.0,0.85,120.0,0.672,0.726,0.014,0.004,251.0,23.0
125.0,0.05,2.0,0.85,120.0,0.642,0.7,0.017,0.008,197.0,27.0
125.0,0.05,2.0,0.85,200.0,0.72,0.798,0.016,0.006,356.0,44.0
125.0,0.05,2.0,0.85,200.0,0.763,0.829,0.026,0.009,302.0,39.0
125.0,0.05,2.0,0.85,200.0,0.716,0.799,0.02,0.009,331.0,48.0
125.0,0.05,2.0,0.85,200.0,0.756,0.815,0.019,0.004,284.0,35.0
125.0,0.05,2.0,0.85,200.0,0.752,0.827,0.023,0.006,305.0,48.0
125.0,0.05,2.0,0.9,10.0,0.175,0.186,0.015,0.005,37.0,2.0
125.0,0.05,2.0,0.9,10.0,0.242,0.259,0.016,0.002,39.0,4.0
125.0,0.05,2.0,0.9,10.0,0.153,0.164,0.011,0.006,20.0,2.0
125.0,0.05,2.0,0.9,10.0,0.218,0.229,0.018,0.005,46.0,3.0
125.0,0.05,2.0,0.9,10.0,0.215,0.221,0.022,0.006,28.0,3.0
125.0,0.05,2.0,0.9,20.0,0.634,0.686,0.024,0.008,157.0,20.0
125.0,0.05,2.0,0.9,20.0,0.592,0.638,0.014,0.006,111.0,20.0
125.0,0.05,2.0,0.9,20.0,0.507,0.555,0.021,0.002,87.0,15.0
125.0,0.05,2.0,0.9,20.0,0.509,0.555,0.027,0.003,91.0,13.0
125.0,0.05,2.0,0.9,20.0,0.54,0.586,0.023,0.004,59.0,15.0
125.0,0.05,2.0,0.9,30.0,0.692,0.745,0.018,0.007,118.0,21.0
125.0,0.05,2.0,0.9,30.0,0.609,0.651,0.022,0.007,92.0,18.0
125.0,0.05,2.0,0.9,30.0,0.624,0.674,0.011,0.003,117.0,25.0
125.0,0.05,2.0,0.9,30.0,0.693,0.752,0.019,0.007,117.0,31.0
125.0,0.05,2.0,0.9,30.0,0.693,0.749,0.015,0.004,128.0,22.0
125.0,0.05,2.0,0.9,80.0,0.777,0.844,0.02,0.004,348.0,38.0
125.0,0.05,2.0,0.9,80.0,0.71,0.771,0.012,0.003,221.0,33.0
125.0,0.05,2.0,0.9,80.0,0.711,0.773,0.024,0.005,282.0,36.0
125.0,0.05,2.0,0.9,80.0,0.768,0.815,0.018,0.005,290.0,37.0
125.0,0.05,2.0,0.9,80.0,0.695,0.754,0.013,0.005,229.0,26.0
125.0,0.05,2.0,0.9,120.0,0.764,0.808,0.017,0.011,292.0,32.0
125.0,0.05,2.0,0.9,120.0,0.74,0.802,0.002,0.005,331.0,40.0
125.0,0.05,2.0,0.9,120.0,0.711,0.774,0.01,0.004,344.0,47.0
125.0,0.05,2.0,0.9,120.0,0.77,0.846,0.011,0.005,355.0,42.0
125.0,0.05,2.0,0.9,120.0,0.775,0.833,0.015,0.008,308.0,38.0
125.0,0.05,2.0,0.9,200.0,0.746,0.836,0.02,0.007,400.0,53.0
125.0,0.05,2.0,0.9,200.0,0.737,0.816,0.019,0.006,372.0,43.0
125.0,0.05,2.0,0.9,200.0,0.695,0.776,0.018,0.005,285.0,28.0
125.0,0.05,2.0,0.9,200.0,0.597,0.646,0.02,0.004,221.0,21.0
125.0,0.05,2.0,0.9,200.0,0.736,0.802,0.008,0.003,258.0,38.0
125.0,0.05,3.0,0.7,10.0,0.153,0.163,0.014,0.003,21.0,1.0
125.0,0.05,3.0,0.7,10.0,0.224,0.241,0.01,0.003,42.0,3.0
125.0,0.05,3.0,0.7,10.0,0.225,0.241,0.025,0.003,35.0,2.0
125.0,0.05,3.0,0.7,10.0,0.151,0.161,0.012,0.002,33.0,2.0
125.0,0.05,3.0,0.7,10.0,0.316,0.347,0.025,0.012,70.0,5.0
125.0,0.05,3.0,0.7,20.0,0.449,0.503,0.009,0.004,63.0,12.0
125.0,0.05,3.0,0.7,20.0,0.597,0.638,0.028,0.007,100.0,21.0
125.0,0.05,3.0,0.7,20.0,0.648,0.706,0.027,0.009,116.0,25.0
125.0,0.05,3.0,0.7,20.0,0.593,0.656,0.016,0.005,89.0,16.0
125.0,0.05,3.0,0.7,20.0,0.591,0.646,0.014,0.003,106.0,16.0
125.0,0.05,3.0,0.7,30.0,0.649,0.705,0.023,0.006,159.0,20.0
125.0,0.05,3.0,0.7,30.0,0.699,0.761,0.007,0.003,161.0,34.0
125.0,0.05,3.0,0.7,30.0,0.564,0.618,0.012,0.007,117.0,16.0
125.0,0.05,3.0,0.7,30.0,0.67,0.723,0.017,0.009,152.0,20.0
125.0,0.05,3.0,0.7,30.0,0.635,0.687,0.017,0.004,139.0,26.0
125.0,0.05,3.0,0.7,80.0,0.764,0.837,0.019,0.005,239.0,25.0
125.0,0.05,3.0,0.7,80.0,0.776,0.839,0.015,0.009,278.0,34.0
125.0,0.05,3.0,0.7,80.0,0.772,0.846,0.025,0.002,342.0,35.0
125.0,0.05,3.0,0.7,80.0,0.757,0.825,0.011,0.008,282.0,35.0
125.0,0.05,3.0,0.7,80.0,0.652,0.729,0.022,0.008,296.0,41.0
125.0,0.05,3.0,0.7,120.0,0.69,0.759,0.006,0.005,250.0,43.0
125.0,0.05,3.0,0.7,120.0,0.686,0.734,0.014,0.007,227.0,30.0
125.0,0.05,3.0,0.7,120.0,0.716,0.778,0.008,0.005,277.0,35.0
125.0,0.05,3.0,0.7,120.0,0.745,0.801,0.02,0.005,220.0,22.0
125.0,0.05,3.0,0.7,120.0,0.726,0.833,0.014,0.008,316.0,34.0
125.0,0.05,3.0,0.7,200.0,0.738,0.801,0.026,0.006,245.0,31.0
125.0,0.05,3.0,0.7,200.0,0.69,0.804,0.017,0.003,413.0,62.0
125.0,0.05,3.0,0.7,200.0,0.712,0.793,0.016,0.008,321.0,45.0
125.0,0.05,3.0,0.7,200.0,0.728,0.849,0.026,0.005,387.0,51.0
125.0,0.05,3.0,0.7,200.0,0.678,0.798,0.016,0.008,311.0,51.0
125.0,0.05,3.0,0.75,10.0,0.152,0.162,0.018,0.004,24.0,2.0
125.0,0.05,3.0,0.75,10.0,0.382,0.413,0.026,0.008,63.0,7.0
125.0,0.05,3.0,0.75,10.0,0.233,0.246,0.015,0.007,48.0,3.0
125.0,0.05,3.0,0.75,10.0,0.275,0.297,0.023,0.006,65.0,8.0
125.0,0.05,3.0,0.75,10.0,0.167,0.181,0.015,0.004,22.0,3.0
125.0,0.05,3.0,0.75,20.0,0.584,0.64,0.012,0.005,79.0,16.0
125.0,0.05,3.0,0.75,20.0,0.649,0.702,0.027,0.004,124.0,30.0
125.0,0.05,3.0,0.75,20.0,0.553,0.605,0.012,0.003,123.0,18.0
125.0,0.05,3.0,0.75,20.0,0.451,0.501,0.01,0.002,91.0,17.0
125.0,0.05,3.0,0.75,20.0,0.42,0.455,0.016,0.007,58.0,11.0
125.0,0.05,3.0,0.75,30.0,0.557,0.613,0.02,0.005,82.0,21.0
125.0,0.05,3.0,0.75,30.0,0.669,0.737,0.009,0.004,228.0,27.0
125.0,0.05,3.0,0.75,30.0,0.533,0.582,0.023,0.006,118.0,20.0
125.0,0.05,3.0,0.75,30.0,0.612,0.656,0.018,0.004,89.0,14.0
125.0,0.05,3.0,0.75,30.0,0.56,0.617,0.029,0.006,95.0,24.0
125.0,0.05,3.0,0.75,80.0,0.765,0.831,0.021,0.005,281.0,36.0
125.0,0.05,3.0,0.75,80.0,0.73,0.821,0.027,0.005,298.0,34.0
125.0,0.05,3.0,0.75,80.0,0.696,0.764,0.011,0.006,192.0,26.0
125.0,0.05,3.0,0.75,80.0,0.664,0.753,0.007,0.006,354.0,51.0
125.0,0.05,3.0,0.75,80.0,0.68,0.753,0.01,0.003,280.0,31.0
125.0,0.05,3.0,0.75,120.0,0.722,0.812,0.013,0.005,309.0,49.0
125.0,0.05,3.0,0.75,120.0,0.757,0.849,0.029,0.004,426.0,60.0
125.0,0.05,3.0,0.75,120.0,0.73,0.82,0.024,0.007,322.0,31.0
125.0,0.05,3.0,0.75,120.0,0.732,0.807,0.014,0.003,284.0,42.0
125.0,0.05,3.0,0.75,120.0,0.667,0.738,0.006,0.005,265.0,32.0
125.0,0.05,3.0,0.75,200.0,0.675,0.742,0.017,0.005,314.0,48.0
125.0,0.05,3.0,0.75,200.0,0.699,0.794,0.005,0.005,310.0,37.0
125.0,0.05,3.0,0.75,200.0,0.729,0.847,0.009,0.002,518.0,69.0
125.0,0.05,3.0,0.75,200.0,0.699,0.797,0.015,0.004,285.0,35.0
125.0,0.05,3.0,0.75,200.0,0.775,0.869,0.01,0.005,343.0,49.0
125.0,0.05,3.0,0.8,10.0,0.179,0.196,0.017,0.007,22.0,2.0
125.0,0.05,3.0,0.8,10.0,0.175,0.186,0.012,0.004,42.0,3.0
125.0,0.05,3.0,0.8,10.0,0.251,0.263,0.026,0.006,32.0,5.0
125.0,0.05,3.0,0.8,10.0,0.192,0.215,0.014,0.005,44.0,4.0
125.0,0.05,3.0,0.8,10.0,0.191,0.209,0.02,0.009,44.0,3.0
125.0,0.05,3.0,0.8,20.0,0.427,0.472,0.014,0.004,83.0,10.0
125.0,0.05,3.0,0.8,20.0,0.591,0.645,0.009,0.005,115.0,28.0
125.0,0.05,3.0,0.8,20.0,0.577,0.631,0.015,0.005,70.0,11.0
125.0,0.05,3.0,0.8,20.0,0.497,0.534,0.024,0.006,80.0,9.0
125.0,0.05,3.0,0.8,20.0,0.58,0.648,0.017,0.004,92.0,27.0
125.0,0.05,3.0,0.8,30.0,0.665,0.711,0.029,0.007,164.0,25.0
125.0,0.05,3.0,0.8,30.0,0.645,0.692,0.011,0.004,121.0,22.0
125.0,0.05,3.0,0.8,30.0,0.637,0.701,0.026,0.005,108.0,20.0
125.0,0.05,3.0,0.8,30.0,0.562,0.618,0.009,0.006,161.0,30.0
125.0,0.05,3.0,0.8,30.0,0.67,0.725,0.01,0.005,196.0,32.0
125.0,0.05,3.0,0.8,80.0,0.662,0.726,0.02,0.005,200.0,26.0
125.0,0.05,3.0,0.8,80.0,0.682,0.754,0.025,0.006,298.0,31.0
125.0,0.05,3.0,0.8,80.0,0.616,0.694,0.032,0.009,199.0,23.0
125.0,0.05,3.0,0.8,80.0,0.733,0.81,0.015,0.003,259.0,32.0
125.0,0.05,3.0,0.8,80.0,0.592,0.648,0.022,0.004,210.0,29.0
125.0,0.05,3.0,0.8,120.0,0.74,0.79,0.007,0.005,189.0,27.0
125.0,0.05,3.0,0.8,120.0,0.641,0.742,0.023,0.007,290.0,47.0
125.0,0.05,3.0,0.8,120.0,0.745,0.832,0.013,0.003,420.0,55.0
125.0,0.05,3.0,0.8,120.0,0.746,0.857,0.008,0.003,504.0,86.0
125.0,0.05,3.0,0.8,120.0,0.691,0.778,0.033,0.006,316.0,52.0
125.0,0.05,3.0,0.8,200.0,0.775,0.859,0.018,0.004,273.0,35.0
125.0,0.05,3.0,0.8,200.0,0.683,0.791,0.011,0.004,359.0,53.0
125.0,0.05,3.0,0.8,200.0,0.762,0.841,0.022,0.009,310.0,64.0
125.0,0.05,3.0,0.8,200.0,0.676,0.809,0.014,0.003,420.0,70.0
125.0,0.05,3.0,0.8,200.0,0.612,0.731,0.021,0.008,372.0,39.0
125.0,0.05,3.0,0.85,10.0,0.318,0.338,0.019,0.008,86.0,5.0
125.0,0.05,3.0,0.85,10.0,0.195,0.217,0.014,0.005,66.0,3.0
125.0,0.05,3.0,0.85,10.0,0.22,0.236,0.019,0.007,39.0,7.0
125.0,0.05,3.0,0.85,10.0,0.281,0.296,0.019,0.006,48.0,6.0
125.0,0.05,3.0,0.85,10.0,0.444,0.484,0.01,0.003,112.0,13.0
125.0,0.05,3.0,0.85,20.0,0.58,0.634,0.026,0.007,84.0,22.0
125.0,0.05,3.0,0.85,20.0,0.608,0.667,0.011,0.003,108.0,17.0
125.0,0.05,3.0,0.85,20.0,0.527,0.569,0.019,0.009,66.0,16.0
125.0,0.05,3.0,0.85,20.0,0.596,0.647,0.02,0.005,92.0,26.0
125.0,0.05,3.0,0.85,20.0,0.521,0.564,0.027,0.008,122.0,21.0
125.0,0.05,3.0,0.85,30.0,0.549,0.61,0.012,0.006,181.0,35.0
125.0,0.05,3.0,0.85,30.0,0.647,0.703,0.021,0.005,144.0,19.0
125.0,0.05,3.0,0.85,30.0,0.73,0.791,0.028,0.003,212.0,27.0
125.0,0.05,3.0,0.85,30.0,0.653,0.709,0.018,0.006,109.0,26.0
125.0,0.05,3.0,0.85,30.0,0.635,0.7,0.028,0.005,164.0,34.0
125.0,0.05,3.0,0.85,80.0,0.709,0.784,0.022,0.005,223.0,27.0
125.0,0.05,3.0,0.85,80.0,0.749,0.838,0.016,0.003,411.0,58.0
125.0,0.05,3.0,0.85,80.0,0.724,0.814,0.017,0.005,261.0,40.0
125.0,0.05,3.0,0.85,80.0,0.707,0.808,0.025,0.006,426.0,67.0
125.0,0.05,3.0,0.85,80.0,0.758,0.861,0.021,0.008,375.0,54.0
125.0,0.05,3.0,0.85,120.0,0.702,0.846,0.021,0.005,503.0,62.0
125.0,0.05,3.0,0.85,120.0,0.739,0.814,0.017,0.005,288.0,28.0
125.0,0.05,3.0,0.85,120.0,0.64,0.784,0.02,0.008,493.0,73.0
125.0,0.05,3.0,0.85,120.0,0.658,0.795,0.005,0.004,443.0,85.0
125.0,0.05,3.0,0.85,120.0,0.734,0.841,0.008,0.004,357.0,47.0
125.0,0.05,3.0,0.85,200.0,0.732,0.839,0.014,0.008,345.0,60.0
125.0,0.05,3.0,0.85,200.0,0.728,0.815,0.015,0.009,338.0,51.0
125.0,0.05,3.0,0.85,200.0,0.767,0.879,0.022,0.004,604.0,64.0
125.0,0.05,3.0,0.85,200.0,0.684,0.798,0.012,0.006,519.0,59.0
125.0,0.05,3.0,0.85,200.0,0.732,0.841,0.01,0.005,452.0,73.0
125.0,0.05,3.0,0.9,10.0,0.395,0.427,0.01,0.004,59.0,9.0
125.0,0.05,3.0,0.9,10.0,0.368,0.401,0.011,0.004,95.0,10.0
125.0,0.05,3.0,0.9,10.0,0.143,0.148,0.005,0.002,21.0,1.0
125.0,0.05,3.0,0.9,10.0,0.196,0.205,0.019,0.006,37.0,3.0
125.0,0.05,3.0,0.9,10.0,0.256,0.267,0.016,0.009,56.0,6.0
125.0,0.05,3.0,0.9,20.0,0.607,0.652,0.021,0.006,98.0,23.0
125.0,0.05,3.0,0.9,20.0,0.547,0.587,0.018,0.01,80.0,14.0
125.0,0.05,3.0,0.9,20.0,0.575,0.62,0.027,0.008,80.0,13.0
125.0,0.05,3.0,0.9,20.0,0.597,0.654,0.015,0.006,58.0,24.0
125.0,0.05,3.0,0.9,20.0,0.509,0.555,0.02,0.003,73.0,23.0
125.0,0.05,3.0,0.9,30.0,0.714,0.782,0.015,0.004,225.0,40.0
125.0,0.05,3.0,0.9,30.0,0.63,0.677,0.022,0.003,127.0,25.0
125.0,0.05,3.0,0.9,30.0,0.693,0.736,0.012,0.004,180.0,28.0
125.0,0.05,3.0,0.9,30.0,0.597,0.636,0.013,0.006,43.0,11.0
125.0,0.05,3.0,0.9,30.0,0.58,0.646,0.013,0.006,180.0,28.0
125.0,0.05,3.0,0.9,80.0,0.757,0.812,0.009,0.005,226.0,28.0
125.0,0.05,3.0,0.9,80.0,0.738,0.813,0.02,0.004,345.0,66.0
125.0,0.05,3.0,0.9,80.0,0.797,0.879,0.015,0.003,308.0,40.0
125.0,0.05,3.0,0.9,80.0,0.621,0.674,0.023,0.006,152.0,20.0
125.0,0.05,3.0,0.9,80.0,0.765,0.828,0.024,0.002,317.0,48.0
125.0,0.05,3.0,0.9,120.0,0.774,0.86,0.008,0.005,384.0,56.0
125.0,0.05,3.0,0.9,120.0,0.646,0.785,0.028,0.005,419.0,65.0
125.0,0.05,3.0,0.9,120.0,0.671,0.761,0.026,0.01,278.0,37.0
125.0,0.05,3.0,0.9,120.0,0.662,0.794,0.015,0.007,362.0,59.0
125.0,0.05,3.0,0.9,120.0,0.711,0.809,0.018,0.008,374.0,50.0
125.0,0.05,3.0,0.9,200.0,0.714,0.797,0.01,0.002,339.0,53.0
125.0,0.05,3.0,0.9,200.0,0.681,0.806,0.015,0.004,446.0,85.0
125.0,0.05,3.0,0.9,200.0,0.712,0.844,0.021,0.009,545.0,85.0
125.0,0.05,3.0,0.9,200.0,0.689,0.834,0.004,0.005,527.0,61.0
125.0,0.05,3.0,0.9,200.0,0.662,0.807,0.03,0.007,435.0,50.0
125.0,0.1,2.0,0.7,10.0,0.18,0.181,0.018,0.006,18.0,3.0
125.0,0.1,2.0,0.7,10.0,0.182,0.19,0.014,0.003,48.0,2.0
125.0,0.1,2.0,0.7,10.0,0.289,0.317,0.023,0.006,44.0,3.0
125.0,0.1,2.0,0.7,10.0,0.249,0.263,0.011,0.009,33.0,5.0
125.0,0.1,2.0,0.7,10.0,0.135,0.149,0.013,0.007,26.0,2.0
125.0,0.1,2.0,0.7,20.0,0.604,0.651,0.008,0.005,78.0,15.0
125.0,0.1,2.0,0.7,20.0,0.514,0.573,0.015,0.006,64.0,16.0
125.0,0.1,2.0,0.7,20.0,0.485,0.531,0.021,0.006,53.0,9.0
125.0,0.1,2.0,0.7,20.0,0.52,0.565,0.019,0.004,60.0,15.0
125.0,0.1,2.0,0.7,20.0,0.546,0.589,0.016,0.005,73.0,13.0
125.0,0.1,2.0,0.7,30.0,0.5,0.535,0.016,0.007,50.0,13.0
125.0,0.1,2.0,0.7,30.0,0.567,0.623,0.012,0.003,169.0,30.0
125.0,0.1,2.0,0.7,30.0,0.698,0.759,0.014,0.007,150.0,26.0
125.0,0.1,2.0,0.7,30.0,0.651,0.708,0.018,0.005,141.0,23.0
125.0,0.1,2.0,0.7,30.0,0.688,0.751,0.021,0.003,146.0,27.0
125.0,0.1,2.0,0.7,80.0,0.714,0.75,0.013,0.005,170.0,19.0
125.0,0.1,2.0,0.7,80.0,0.722,0.772,0.014,0.002,296.0,43.0
