tau,w_in,w_re,prob_neu_e,acc,std,acc_train,std_train,num_spikes,std_spikes
200.0,5.0,3.0,0.72,0.858,0.009,0.998,0.002,10715.312666666667,1728.7550609922223
200.0,5.0,3.0,0.72,0.862,0.015,1.0,0.0,9939.429,1485.372956407133
200.0,5.0,3.0,0.78,0.876,0.01,0.993,0.001,11571.301,1680.0010753168183
200.0,5.0,3.0,0.78,0.868,0.005,0.994,0.001,12273.320333333333,1564.2686339159338
200.0,5.0,3.0,0.78,0.859,0.012,0.989,0.001,12382.048333333334,1232.7488351906436
200.0,5.0,3.0,0.78,0.865,0.012,0.988,0.002,12989.250666666667,1164.8031970392633
200.0,5.0,3.0,0.78,0.862,0.009,0.986,0.002,13233.844666666666,1413.731975495434
200.0,5.0,3.0,0.85,0.878,0.013,0.975,0.001,13668.571,1586.2396875290738
200.0,5.0,3.0,0.85,0.865,0.014,0.98,0.002,13510.708666666667,1908.6939761151398
200.0,5.0,3.0,0.85,0.862,0.014,0.976,0.002,13541.375333333333,1756.102739721746
200.0,5.0,3.0,0.85,0.864,0.008,0.975,0.002,13896.027666666667,1451.9368625739971
200.0,5.0,3.0,0.85,0.872,0.007,0.97,0.001,14016.119333333334,1017.8122756315245
